5letter code	kingdom/super group	clade/phylum	supergroup2	order	family	scientific name	synonym used for letter code	taxID from NCBI	data source	genome version	Pubmed ID paper	#proteins	# organellar proteins	# mitochondrium proteins 	# plastid proteins	# plasmid proteins	isoforms available	number of isoforms	date added to database	date updated/checked	URL source	URL working?	non-URL source	publicly available	source mitochondrial sequences	mt-URL working?	source of plastid sequences	pt-URL working?	notes	numer of plasmids	plasmid sources working?	plasmid source 01	plasmid source 02	plasmid source 03	plasmid source 04	plasmid source 05	plasmid source 06
ABIAL	Archaeplastida	Acrogymnospermae	Coniferophyta	Pinales	Pinaceae	Abies alba		45372	genome	1,1	31217262	97750	0	0	0	0			19/05/2020		https://treegenesdb.org/FTP/Genomes/Abal/v1.1/	yes		yes													
ABRPR	Archaeplastida	eudicots		Fabales	Fabaceae	Abrus precatorius		3816	genome			28723	0	0	0	0			20/07/2020		https://www.ncbi.nlm.nih.gov/assembly/GCF_003935025.1/																
ACEYA	Archaeplastida	eudicots	rosids	Sapindales	Sapindaceae	Acer yangbiense		1000413	genome			28320	0	0	0	0			21/07/2020		http://gigadb.org/dataset/100610																
ACTCH	Archaeplastida	eudicots	asterids	Ericales	Actinidiaceae	Actinidia chinensis	-	3625	genome	?	24136039	39040	0	0	0	0	no	0	29/03/2015	13/05/2020	ftp://bioinfo.bti.cornell.edu/pub/kiwifruit/Kiwifruit_pep.fa.gz	yes		yes													
ACTER	Archaeplastida	eudicots	asterids	Ericales	Actinidiaceae	Actinidia eriantha		165200	genome			42988	0	0	0	0			20/07/2020		http://gigadb.org/dataset/100568																
AEGTA	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Aegilops tauschii	-	37682	genome			49395	80	0	0	80			29/03/2015	05/06/2020	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/957/025/GCF_001957025.1_Aet_MR_1.0/GCF_001957025.1_Aet_MR_1.0_protein.faa.gz	yes							same content								
AETAR	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Aethionema arabicum	-	228871	genome	2,5	-	22846	0	0	0	0	no	0	29/03/2015		https://genomevolution.org/CoGe/GenomeInfo.pl?gid=36061		Aarabicum.v2.5.gff+Aarabicum.v2.5.scaffold.fa	yes													
ALNGL	Archaeplastida	eudicots		Fagales	Betulaceae	Alnus glutinosa		3517	genome			43087	0	0	0	0			20/07/2020		http://gigadb.org/dataset/101042																
AMAHY	Archaeplastida	eudicots	stem rosids	Caryophyllales	Amaranthaceae	Amaranthus hypochondriacus	-	28502	genome	2,1	28854926	23843	0	0	0	0	yes	36	29/09/2016	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Ahypochondriacus	yes	Phytozome V12	yes													
AMBTR	Archaeplastida	Magnoliopsida	-	Amborellales	Amborellaceae	Amborella trichopoda	-	13333	genome	1	24357323	26846	86	0	86	0	no	0	29/03/2015	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/950/GCF_000471905.2_AMTR1.0/GCF_000471905.2_AMTR1.0_protein.faa.gz + https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Atrichopoda	yes	Phyzozome V12	yes			http://www.ncbi.nlm.nih.gov/nuccore/NC_005086.1	yes	JGI link had same amount of proteins								
AMMNA	Archaeplastida	eudicots		Fabales	Fabaceae	Ammopiptanthus nanus		111851	genome			37173	0	0	0	0			20/07/2020		http://gigadb.org/dataset/100466																
ANAOC	Archaeplastida	eudicots	rosids	Sapindales	Anacardiaceae	Anacardium occidentale	-	171929	genome	0.90000000000000002	-	41197	0	0	0	0	yes	40973	17/11/2017	29/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Aoccidentale	yes	Phytozome V12	no													
ANACO	Archaeplastida	Liliopsida	commelinids	Poales	Bromeliaceae	Ananas comosus	-	4615	genome	3	26523774	27024	0	0	0	0	no	0	17/11/2017	29/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Acomosus	yes	Phytozome V12	yes													
ANTAG	Archaeplastida	Anthocerotopsida	-	Anthocerotales	Anthocerotaceae	Anthoceros agrestis	-	41834	genome			25914	0	0	0	0			14/11/2017	30/06/2020	/mnt/nas_kessel_storage/storage/data/Anthoceros	no	Pszoev														
ANTAN	Archaeplastida	Anthocerotopsida	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387	Anthocerotales	Anthocerotaceae	Anthoceros angustus		48387	genome	?	32042158	14629	0	0	0	0			18/05/2020		https://datadryad.org/stash/dataset/doi:10.5061/dryad.msbcc2ftv	yes	https://www.ncbi.nlm.nih.gov/genome/?term=txid48387[orgn]	yes	https://www.ncbi.nlm.nih.gov/nuccore/NC_037476.1	yes	https://www.ncbi.nlm.nih.gov/nuccore/NC_004543.1	yes									
ANTPU	Archaeplastida	Anthocerotopsida		Anthocerotales	Anthocerotaceae	Anthoceros punctatus		3234	genome			33187	0	0	0	0			20/07/2020	RAW files gelöscht	https://www.hornworts.uzh.ch/en/download.html																
ANTMA	Archaeplastida	eudicots	asterids	Lamiales	Plantaginaceae	Antirrhinum majus		4151	genome			37036	0	0	0	0			20/07/2020		http://bioinfo.sibs.ac.cn/Am/download_v3.php																
APOSH	Archaeplastida	Liliopsida		Asparagales	Orchidaceae	Apostasia shenzhenica		1088818	genome			21736	0	0	0	0			20/07/2020		https://www.ncbi.nlm.nih.gov/assembly/GCA_002786265.1																
AQUSI	Archaeplastida	eudicots	rosids	Malvales	Thymelaeaceae	Aquilaria sinensis		210372	genome			29203	0	0	0	0			20/07/2020		gigadb.org/dataset/100702																
AQUCO	Archaeplastida	eudicots	stem_eudicots	Ranunculales	Ranunculaceae	Aquilegia coerulea	-	218851	genome	3,1	-	30023	0	0	0	0	yes	13527	09/11/2010	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Acoerulea	yes		no													
ARAHA	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Arabidopsis halleri	-	81970	genome	1,1	-	25008	0	0	0	0	yes	1903	16/11/2017	16/11/2017	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Phytozome	yes	Phytozome V12	no													
ARALY	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Arabidopsis lyrata	-	59689	genome	2,1	21478890	31073	0	0	0	0	yes	2059	26/02/2009	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Alyrata	yes	Phytozome V12	yes													
ARATH	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Arabidopsis thaliana	-	3702	genome	TAIR10	11130711, 22140109	27416	204	117	87	0	yes	7970	26/11/2011	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Athaliana	yes	Phytozome V12	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_001284.2	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_000932.1	yes									
ARAAL	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Arabis alpina	-	50452	genome	?	27246759	23286	0	0	0	0	no	0	13/07/2016				private link (Korbinian) (Hi Kristian it is true, the Alpina annotation is on NCBI, but it is quite nasty to find it. We build a webpage, but it is not finished yet. Eva has the data we share at hand, she can send you a link. Thanks Eva. best Korbinian )	yes													
ARADU	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Arachis duranensis	-	130453	genome	1	26901068	36734	0	0	0	0	yes	37842	16/11/2017	28/05/2020	https://www.peanutbase.org/files/genomes/Arachis_duranensis/annotation/	yes		yes					Isoform proteins are secondary proteins, other proteins are primary ones!								
ARAHY	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Arachis hypogaea		3818	genome			67124	0	0	0	0			20/07/2020		https://peanutbase.org/data/public/Arachis_hypogaea/Tifrunner.gnm1.KYV3/																
ARAIP	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Arachis ipaensis	-	130454	genome	1	26901068	41840	0	0	0	0	yes	38967	16/11/2017	28/05/2020	https://www.peanutbase.org/files/genomes/Arachis_ipaensis/	yes		yes					Isoform proteins are secondary proteins, other proteins are primary ones!								
ARAMO	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Arachis monticola		227691	genome			74907	0	0	0	0			20/07/2020		http://gigadb.org/dataset/100453																
ARTAN	Archaeplastida	eudicots	asterids	Asterales	Asteraceae	Artemisia annua		35608	genome			66676	116	0	0	116			20/07/2020		https://www.ncbi.nlm.nih.gov/assembly/GCA_003112345.1																
ARTAL	Archaeplastida	eudicots	rosids	Rosales	Moraceae	Artocarpus altilis		194251	genome			34010	0	0	0	0			20/07/2020		https://bioinformatics.psb.ugent.be/gdb/aocc/artal/																
ARTCA	Archaeplastida	eudicots	rosids	Rosales	Moraceae	Artocarpus camansi	-	709039	genome	1,1	27437173	82462	0	0	0	0	yes	594	22/11/2017	29/05/2020	http://datadryad.org/resource/doi:10.5061/dryad.3293r	yes	Dryad	yes													
ARTHE	Archaeplastida	eudicots	rosids	Rosales	Moraceae	Artocarpus heterophyllus		3489	genome			35858	0	0	0	0			20/07/2020		https://bioinformatics.psb.ugent.be/gdb/aocc/arthe/																
ASPOF	Archaeplastida	Liliopsida	-	Asparagales	Asparagaceae	Asparagus officinalis	-	4686	genome	1,1	29093472	27395	0	0	0	0	no	0	24/11/2017	29/05/2020	http://asparagus.uga.edu/tripal/downloads	yes		yes					Had to generate proteins using GFF								
ASPSE	Archaeplastida	Liliopsida		Asparagales	Asparagaceae	Asparagus setaceus		272863	genome			28410	0	0	0	0			20/07/2020		https://datadryad.org/stash/dataset/doi:10.5061/dryad.1c59zw3rm																
ASTGL	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Asterochloris glomerata Cgr/DA1pho v2.0		763042	genome			10025	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Astpho2/Astpho2.download.html 																
ATABU	Archaeplastida	eudicots	rosids	Sapindales	Rutaceae	Atalantia buxifolia	-	76974	genome	1	28394353	28412	0	0	0	0	yes	23460	24/11/2017	29/05/2020	http://citrus.hzau.edu.cn/orange/download/index.php	yes		yes													
ATRAN	Archaeplastida	Bryopsida				Atrichum angustatum			genome			25552	0	0	0	0			15.03.21																		
ATRHO	Archaeplastida	eudicots	stem rosids	Caryophyllales	Chenopodiaceae	Atriplex hortensis		34272	genome			37083	0	0	0	0			20/07/2020		https://genomevolution.org/coge/SearchResults.pl?s=Atriplex%20hortensis&p=genome																
AUXPR	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella protothecoides UTEX 25			genome			6041	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Auxpr25_1/Auxpr25_1.download.html 																
AVECA	Archaeplastida	eudicots		Oxalidales	Oxalidaceae	Averrhoa carambola		28974	genome			24531	0	0	0	0			20/07/2020		https://bigd.big.ac.cn/gwh/Assembly/946/show																
AZAIN	Archaeplastida	eudicots	rosids	Sapindales	Meliaceae	Azadirachta indica	-	124943	genome	?	22958331	40482	0	0	0	0	no	0	13/07/2016		?			yes					source has to be checked								
AZOFI	Archaeplastida	Moniliformopses	Polypodiidae	Salviniales	Azollaceae	Azolla filiculoides	-	84609	genome	?	-	33800	0	0	0	0	no, but low confidence proteins	87625	04/07/2016	12/06/2020	0		Y:\storage\data\Azolla_TFs	no					split into low and high confidence proteins								
BARVU	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Barbarea vulgaris	-	50459	genome	1	28094805	25350	0	0	0	0	no	0	24/11/2017	29/05/2020	http://plen.ku.dk/Barbarea	yes		yes					Link does not work because of our firewall								
BATPR	Archaeplastida	Chlorophyta	prasinophytes	Mamiellales	Bathycoccaceae	Bathycoccus prasinos	-	41875	genome	?	22925495	7919	0	0	0	0	no	0	29/03/2015	12/05/2020	https://bioinformatics.psb.ugent.be/gdb/bathycoccus/RELEASE_15jul2011/bathy_PROT.fasta	yes		yes													
BEGFU	Archaeplastida	eudicots	rosids	Cucurbitales	Begoniaceae	Begonia fuchsioides		200001	genome			51638	0	0	0	0			20/07/2020		http://gigadb.org/dataset/101043																
BETPA	Archaeplastida	eudicots	stem rosids	Caryophyllales	Chenopodiaceae	Beta patula		1505710	genome			27060	0	0	0	0			20/07/2020		http://bvseq.boku.ac.at/Genome/Download/Bpat/																
BETVUmt	Archaeplastida	eudicots	stem rosids	Caryophyllales	Chenopodiaceae	Beta vulgaris	-	161934	mitochondrium + chloroplast	?	0	140	140	140	0	0	no	0	29/03/2015	13/05/2020				yes	http://www.ncbi.nlm.nih.gov/nuccore/BA000009	yes											
BETVUBE	Archaeplastida	eudicots	stem rosids	Caryophyllales	Chenopodiaceae	Beta vulgaris	-	161934	genome	1,2	24352233	26920	0	0	0	0	yes	2166	29/03/2015	13/05/2020	http://bvseq.molgen.mpg.de/Genome/Download/RefBeet-1.2/BeetSet-2.genes.1408.pep	yes		yes													
BOEST	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Boechera stricta	-	72658	genome	1,2	28812690	27416	0	0	0	0	yes	2396	04/07/2016	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Bstricta	yes	Phytozome V12	yes													
BOMCE	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Bombax ceiba		45325	genome			52705	0	0	0	0			20/07/2020		http://gigadb.org/dataset/view/id/100445																
BONAM	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Bonia amplexicaulis		338503	genome			47056	0	0	0	0			20/07/2020		http://www.genobank.org/bamboo#2																
BOTBR	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Botryococcus braunii Showa v2.1		1202541	genome			23685	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Botrbrau1/Botrbrau1.download.html 																
BRADI	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Brachypodium distachyon	-	15368	genome			32439	0	0	0	0			09/11/2010	05/06/2020	https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Bdistachyon	yes					http://www.ncbi.nlm.nih.gov/nuccore/NC_011032.1	yes	Added BRADIwonew.fa to final. Version 3.14 on JGI (http://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=PhytozomeV11#)								
BRADIB1	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Brachypodium distachyon		15368	genome			32667	0	0	0	0			25/05/2020		https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=BdistachyonBd1_1	yes															
BRAST	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Brachypodium stacei	-	1071399	genome	1,1	-	29898	0	0	0	0	yes	6459	04/07/2016	26/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Bstacei	yes	Phytozome V12	no													
BRANA	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Brassica napus	-	3708	genome	5	25146293	101040	0	0	0	0	no	0	22/11/2017	29/05/2020	http://www.genoscope.cns.fr/brassicanapus/data/	yes		yes													
BRAOL	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Brassica oleracea	-	3712	genome	?	24852848	45758	0	0	0	0	no	0	29/03/2015	13/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/525/GCF_000695525.1_BOL/GCF_000695525.1_BOL_protein.faa.gz	yes		yes													
BRARA	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Brassica rapa	-	3711	genome			46250	0	0	0	0			26/05/2013	05/06/2020	http://brassicadb.org/brad/datasets/pub/Genomes/Brassica_rapa/V3.0/	yes			http://www.ncbi.nlm.nih.gov/nuccore/NC_016125.1	yes											
CAJCA	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Cajanus cajan	-	3821	genome	?	22057054 + 24431589	48680	0	0	0	0	no	0	26/05/2013	13/05/2020	http://www.icrisat.org/gt-bt/iipg/genomedata.zip	yes		yes													
CALJE	Archaeplastida	eudicots	commelinids	Arecales	Arecaceae	Calamus jenkinsianus		1510057	genome			53342	0	0	0	0			20/07/2020		http://gigadb.org/dataset/101053																
CALSI	Archaeplastida	eudicots	commelinids	Arecales	Arecaceae	Calamus simplicifolius		746888	genome			51235	0	0	0	0			20/07/2020		http://gigadb.org/dataset/101052																
CALTU	Archaeplastida	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Calliarthron tuberculosum	-	48942	genome	?	-	23961	0	0	0	0	no	0	12/01/2009		http://dbdata.rutgers.edu/data/plantae/Calliarthron_tuberculosum.faa	no		yes													
CALGI	Archaeplastida	eudicots		Gentianales	Apocynaceae	Calotropis gigantea		4066	genome			18197	0	0	0	0			07/07/2020		https://datadryad.org/stash/dataset/doi:10.5061/dryad.fk41r																
CAMSA	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Camelina sativa	-	90675	genome	?	24759634	89418	0	0	0	0	.#	5077	29/03/2015	13/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/633/955/GCF_000633955.1_Cs/GCF_000633955.1_Cs_protein.faa.gz	yes		yes													
CAMSI	Archaeplastida	eudicots	asterids	Ericales	Theaceae	Camellia sinensis	-	4442	genome	?	28473262	36951	0	0	0	0	no	0	24/11/2017	29/05/2020	http://www.plantkingdomgdb.com/tea_tree/data/pep/	yes		yes													
CAMAC	Archaeplastida	eudicots	asterids	Cornales	Nyssaceae	Camptotheca acuminata	-	16922	genome			31825	0	0	0	0			24/11/2017	05/06/2020	https://datadryad.org/stash/dataset/doi:10.5061/dryad.nc8qr	yes	Dryad														
CANSA	Archaeplastida	eudicots	rosids	Rosales	Cannabaceae	Cannabis sativa	-	3483	genome	?	22014239	30079	0	0	0	0	no	0	29/03/2015	13/05/2020	http://genome.ccbr.utoronto.ca/downloads/canSat3_transcriptome-representative_ORFs.fa.gz	no		yes													
CANSACAtr	Archaeplastida	eudicots	rosids	Rosales	Cannabaceae	Cannabis sativa canSat3	-	3483	transcriptome	?	22014239	47275	0	0	0	0	no	0	29/03/2015	13/05/2020	http://genome.ccbr.utoronto.ca/downloads/canSat3_transcriptome-full.fa.gz	no		yes													
CANSAFItr	Archaeplastida	eudicots	rosids	Rosales	Cannabaceae	Cannabis sativa finola1	-	3483	transcriptome	?	22014239	41171	0	0	0	0	no	0	29/03/2015	13/05/2020	http://genome.ccbr.utoronto.ca/downloads/finola1_transcriptome-full.fa.gz	no		yes													
CAPGR	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Capsella grandiflora	-	264402	genome	1.1000000000000001	23749190	24805	0	0	0	0	yes	1756	04/07/2016	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Cgrandiflora	yes	Phytozome V12	yes													
CAPRU	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Capsella rubella	-	81985	genome	1,1	23749190	27682	0	0	0	0	yes	1865	29/03/2015	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Crubella	yes	Phytozome V12	yes													
CAPANGL	Archaeplastida	eudicots		Solanales	Solanaceae	Capsicum annuum (spp. glabriusculum)	-	165789	genome	?	24591624	34476	0	0	0	0	no	0	13/07/2016	12/06/2020	ftp://ftp.solgenomics.net/genomes/Capsicum_annuum/	yes															
